condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
refractory_1.2,0.25,114,1.4627600089465445,,14501,900000,58004.0,0.3538602941176471,144.0,1.2,0.9249706916764361,1.1875732708089097,0.0,1088.0,144.0,0.3538602941176471,0.0
refractory_1.2,0.25,115,1.463775623473692,,14542,900000,58168.0,0.3488824101068999,200.0,1.2,0.9292394443680374,1.1944711869068905,0.0,1029.0,200.0,0.3488824101068999,0.0
refractory_1.2,0.25,116,1.416431436636458,,14500,900000,58000.0,0.3535645472061657,196.0,1.2,0.9284137931034483,1.2048275862068965,0.0,1038.0,196.0,0.3535645472061657,0.0
refractory_1.2,0.25,117,1.460970700067099,,14517,900000,58068.0,0.3333333333333333,212.0,1.2,0.9239512295928911,1.1945994351450024,0.0,1104.0,212.0,0.3333333333333333,0.0
refractory_1.2,0.25,118,1.3953899403490684,,14491,900000,57964.0,0.3881578947368421,180.0,1.2,0.9370692031982355,1.2147780534877308,0.0,913.0,180.0,0.3888280394304491,17.0
refractory_1.2,0.25,119,1.4578857693162457,,14501,900000,58004.0,0.3902195608782435,236.0,1.2,0.9309013171505414,1.1961244052134337,0.0,1002.0,236.0,0.3902195608782435,0.0
homogeneous,3.0,100,54.257058003295846,950.0,172561,10800000,57520.333333333336,,,,,,,,,,
homogeneous,3.0,101,54.001730580373184,892.0,173774,10800000,57924.666666666664,,,,,,,,,,
homogeneous,3.0,102,54.275407896563586,871.0,172561,10800000,57520.333333333336,,,,,,,,,,
homogeneous,3.0,103,53.934153635512,901.0,173479,10800000,57826.333333333336,,,,,,,,,,
homogeneous,3.0,104,54.00625825033001,916.0,173528,10800000,57842.666666666664,,,,,,,,,,
homogeneous,3.0,105,53.8972299318423,898.0,173688,10800000,57896.0,,,,,,,,,,
homogeneous,3.0,106,53.983495640188174,941.0,173678,10800000,57892.666666666664,,,,,,,,,,
homogeneous,3.0,107,54.03286901711715,989.0,173173,10800000,57724.333333333336,,,,,,,,,,
homogeneous,3.0,108,54.18354048509714,920.0,172675,10800000,57558.333333333336,,,,,,,,,,
homogeneous,3.0,109,54.09136129595616,908.0,172963,10800000,57654.333333333336,,,,,,,,,,
homogeneous,3.0,110,54.082625041354625,969.0,173161,10800000,57720.333333333336,,,,,,,,,,
homogeneous,3.0,111,54.21470806733144,916.0,172518,10800000,57506.0,,,,,,,,,,
homogeneous,3.0,112,53.86206257436161,890.0,174084,10800000,58028.0,,,,,,,,,,
homogeneous,3.0,113,54.140824136810565,959.0,173051,10800000,57683.666666666664,,,,,,,,,,
homogeneous,3.0,114,53.86769190294536,911.0,174049,10800000,58016.333333333336,,,,,,,,,,
homogeneous,3.0,115,54.06858863045059,878.0,173287,10800000,57762.333333333336,,,,,,,,,,
homogeneous,3.0,116,54.275389219746664,897.0,172299,10800000,57433.0,,,,,,,,,,
homogeneous,3.0,117,54.20343315630244,882.0,173062,10800000,57687.333333333336,,,,,,,,,,
homogeneous,3.0,118,54.095402998018585,880.0,172971,10800000,57657.0,,,,,,,,,,
homogeneous,3.0,119,54.29114604407351,884.0,172448,10800000,57482.666666666664,,,,,,,,,,
uniform,3.0,100,4.512880949954133,12571.0,161115,10800000,53705.0,,,,,,,,,,
uniform,3.0,101,4.493490748674982,12439.0,161685,10800000,53895.0,,,,,,,,,,
uniform,3.0,102,4.469958335450435,12388.0,161614,10800000,53871.333333333336,,,,,,,,,,
uniform,3.0,103,4.477324032974002,12666.0,161894,10800000,53964.666666666664,,,,,,,,,,
uniform,3.0,104,4.504536165173711,12546.0,161270,10800000,53756.666666666664,,,,,,,,,,
uniform,3.0,105,4.460395568717224,12447.0,161896,10800000,53965.333333333336,,,,,,,,,,
uniform,3.0,106,4.489438717938965,12638.0,161933,10800000,53977.666666666664,,,,,,,,,,
uniform,3.0,107,4.472958938115865,12456.0,162097,10800000,54032.333333333336,,,,,,,,,,
uniform,3.0,108,4.494845032977796,12332.0,161396,10800000,53798.666666666664,,,,,,,,,,
uniform,3.0,109,4.505309503661617,12320.0,161362,10800000,53787.333333333336,,,,,,,,,,
uniform,3.0,110,4.473315042801112,12474.0,161999,10800000,53999.666666666664,,,,,,,,,,
uniform,3.0,111,4.524877596509834,12466.0,161646,10800000,53882.0,,,,,,,,,,
uniform,3.0,112,4.477904408965149,12334.0,161762,10800000,53920.666666666664,,,,,,,,,,
uniform,3.0,113,4.471305672835783,12396.0,161703,10800000,53901.0,,,,,,,,,,
uniform,3.0,114,4.488183544303798,12416.0,162178,10800000,54059.333333333336,,,,,,,,,,
uniform,3.0,115,4.473051417526593,12608.0,161488,10800000,53829.333333333336,,,,,,,,,,
uniform,3.0,116,4.466623823673511,12419.0,161364,10800000,53788.0,,,,,,,,,,
uniform,3.0,117,4.465502449812213,12369.0,161547,10800000,53849.0,,,,,,,,,,
uniform,3.0,118,4.466227640829403,12505.0,161493,10800000,53831.0,,,,,,,,,,
uniform,3.0,119,4.446555623839784,12435.0,162033,10800000,54011.0,,,,,,,,,,
mixed,3.0,100,4.425828243884131,25990.0,150768,10800000,50256.0,,,,,,,,,,
mixed,3.0,101,4.545228256730647,23048.0,146013,10800000,48671.0,,,,,,,,,,
mixed,3.0,102,4.503152115919239,24710.0,146612,10800000,48870.666666666664,,,,,,,,,,
mixed,3.0,103,4.607848013129756,22318.0,144909,10800000,48303.0,,,,,,,,,,
mixed,3.0,104,4.564937800117941,24329.0,146646,10800000,48882.0,,,,,,,,,,
mixed,3.0,105,4.397550111358575,27001.0,151436,10800000,50478.666666666664,,,,,,,,,,
mixed,3.0,106,4.401109019479456,26540.0,150793,10800000,50264.333333333336,,,,,,,,,,
mixed,3.0,107,4.554397545425117,23919.0,146314,10800000,48771.333333333336,,,,,,,,,,
mixed,3.0,108,4.467082961641392,26525.0,149884,10800000,49961.333333333336,,,,,,,,,,
mixed,3.0,109,4.552692407069882,24247.0,147403,10800000,49134.333333333336,,,,,,,,,,
mixed,3.0,110,4.517468905909634,25470.0,146486,10800000,48828.666666666664,,,,,,,,,,
mixed,3.0,111,4.512170767812753,24541.0,147402,10800000,49134.0,,,,,,,,,,
mixed,3.0,112,4.4457814756240115,25200.0,149666,10800000,49888.666666666664,,,,,,,,,,
mixed,3.0,113,4.42668888934057,26086.0,151799,10800000,50599.666666666664,,,,,,,,,,
mixed,3.0,114,4.437849713363771,25622.0,149873,10800000,49957.666666666664,,,,,,,,,,
mixed,3.0,115,4.441474038236226,26759.0,149292,10800000,49764.0,,,,,,,,,,
mixed,3.0,116,4.636424230262026,22311.0,143716,10800000,47905.333333333336,,,,,,,,,,
mixed,3.0,117,4.515894889650965,24622.0,146761,10800000,48920.333333333336,,,,,,,,,,
mixed,3.0,118,4.468144196661809,24311.0,149640,10800000,49880.0,,,,,,,,,,
mixed,3.0,119,4.463877567880156,25009.0,149408,10800000,49802.666666666664,,,,,,,,,,
capped,3.0,100,1.2953549076956945,0.0,174005,10800344,57999.819265016005,0.2643142476697736,112.0,,,,,,,,
capped,3.0,101,1.2862704044532485,0.0,174026,10800000,58008.666666666664,0.275755068266446,128.0,,,,,,,,
capped,3.0,102,1.3003577333911742,0.0,174000,10801522,57991.827448020755,0.26795154922037073,128.0,,,,,,,,
capped,3.0,103,1.2841108713109817,0.0,174019,10800000,58006.333333333336,0.2730566760101183,120.0,,,,,,,,
capped,3.0,104,1.2572292891903571,0.0,174030,10800303,58008.372542881436,0.27152502262128486,120.0,,,,,,,,
capped,3.0,105,1.294781887418467,0.0,174022,10800000,58007.333333333336,0.2709621069604945,128.0,,,,,,,,
